valor (%),extracted_value,link,serpapi_link,termo,texto,período
100,100,https://trends.google.com/trends/explore?q=eficiencia&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=eficiencia&tz=180,Eficiência Energética,eficiencia,1 ano
100,100,https://trends.google.com/trends/explore?q=eficiencia+energ%C3%A9tica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=eficiencia+energ%C3%A9tica&tz=180,Eficiência Energética,eficiencia energética,1 ano
72,72,https://trends.google.com/trends/explore?q=eficiencia+energetica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=eficiencia+energetica&tz=180,Eficiência Energética,eficiencia energetica,1 ano
51,51,https://trends.google.com/trends/explore?q=programa+de+efici%C3%AAncia+energ%C3%A9tica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=programa+de+efici%C3%AAncia+energ%C3%A9tica&tz=180,Eficiência Energética,programa de eficiência energética,1 ano
45,45,https://trends.google.com/trends/explore?q=conceito+de+efici%C3%AAncia+energ%C3%A9tica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=conceito+de+efici%C3%AAncia+energ%C3%A9tica&tz=180,Eficiência Energética,conceito de eficiência energética,1 ano
40,40,https://trends.google.com/trends/explore?q=etiqueta+de+efici%C3%AAncia+energ%C3%A9tica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=etiqueta+de+efici%C3%AAncia+energ%C3%A9tica&tz=180,Eficiência Energética,etiqueta de eficiência energética,1 ano
39,39,https://trends.google.com/trends/explore?q=procel&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=procel&tz=180,Eficiência Energética,procel,1 ano
38,38,https://trends.google.com/trends/explore?q=o+que+significa+efici%C3%AAncia+energ%C3%A9tica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=o+que+significa+efici%C3%AAncia+energ%C3%A9tica&tz=180,Eficiência Energética,o que significa eficiência energética,1 ano
37,37,https://trends.google.com/trends/explore?q=selo+de+efici%C3%AAncia+energ%C3%A9tica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=selo+de+efici%C3%AAncia+energ%C3%A9tica&tz=180,Eficiência Energética,selo de eficiência energética,1 ano
32,32,https://trends.google.com/trends/explore?q=matriz+energ%C3%A9tica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=matriz+energ%C3%A9tica&tz=180,Eficiência Energética,matriz energética,1 ano
26,26,https://trends.google.com/trends/explore?q=efici%C3%AAncia+energ%C3%A9tica+na+ind%C3%BAstria&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=efici%C3%AAncia+energ%C3%A9tica+na+ind%C3%BAstria&tz=180,Eficiência Energética,eficiência energética na indústria,1 ano
25,25,https://trends.google.com/trends/explore?q=efici%C3%AAncia+energ%C3%A9tica+geladeira&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=efici%C3%AAncia+energ%C3%A9tica+geladeira&tz=180,Eficiência Energética,eficiência energética geladeira,1 ano
23,23,https://trends.google.com/trends/explore?q=selo+procel&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=selo+procel&tz=180,Eficiência Energética,selo procel,1 ano
22,22,https://trends.google.com/trends/explore?q=inmetro&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=inmetro&tz=180,Eficiência Energética,inmetro,1 ano
22,22,https://trends.google.com/trends/explore?q=gest%C3%A3o+de+energia+e+efici%C3%AAncia+energ%C3%A9tica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=gest%C3%A3o+de+energia+e+efici%C3%AAncia+energ%C3%A9tica&tz=180,Eficiência Energética,gestão de energia e eficiência energética,1 ano
22,22,https://trends.google.com/trends/explore?q=energia+renov%C3%A1vel&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+renov%C3%A1vel&tz=180,Eficiência Energética,energia renovável,1 ano
18,18,https://trends.google.com/trends/explore?q=o+que+%C3%A9+eficiencia+energetica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=o+que+%C3%A9+eficiencia+energetica&tz=180,Eficiência Energética,o que é eficiencia energetica,1 ano
16,16,https://trends.google.com/trends/explore?q=o+que+%C3%A9+efici%C3%AAncia+energ%C3%A9tica+e+como+ela+pode+ajudar+a+mitigar+os+impactos+ambientais+da+tecnologia?&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=o+que+%C3%A9+efici%C3%AAncia+energ%C3%A9tica+e+como+ela+pode+ajudar+a+mitigar+os+impactos+ambientais+da+tecnologia%3F&tz=180,Eficiência Energética,o que é eficiência energética e como ela pode ajudar a mitigar os impactos ambientais da tecnologia?,1 ano
13,13,https://trends.google.com/trends/explore?q=qual+%C3%A9+um+problema+ambiental+significativo+gerado+pelo+descarte+inadequado+de+produtos+eletr%C3%B4nicos?&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=qual+%C3%A9+um+problema+ambiental+significativo+gerado+pelo+descarte+inadequado+de+produtos+eletr%C3%B4nicos%3F&tz=180,Eficiência Energética,qual é um problema ambiental significativo gerado pelo descarte inadequado de produtos eletrônicos?,1 ano
5,5,"https://trends.google.com/trends/explore?q=assim,+comparando+os+valores+dos+combust%C3%ADveis+acima+apresentados,+identifique+qual+combust%C3%ADvel+apresenta+maior+valor+de+energia+liberada.&date=today+12-m&geo=BR",https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=assim%2C+comparando+os+valores+dos+combust%C3%ADveis+acima+apresentados%2C+identifique+qual+combust%C3%ADvel+apresenta+maior+valor+de+energia+liberada.&tz=180,Eficiência Energética,"assim, comparando os valores dos combustíveis acima apresentados, identifique qual combustível apresenta maior valor de energia liberada.",1 ano
4,4,https://trends.google.com/trends/explore?q=qual+%C3%A9+um+exemplo+de+como+a+tecnologia+pode+ajudar+na+escassez+de+%C3%A1gua?&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=qual+%C3%A9+um+exemplo+de+como+a+tecnologia+pode+ajudar+na+escassez+de+%C3%A1gua%3F&tz=180,Eficiência Energética,qual é um exemplo de como a tecnologia pode ajudar na escassez de água?,1 ano
100,100,https://trends.google.com/trends/explore?q=o+que+%C3%A9+energia&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=o+que+%C3%A9+energia&tz=180,Energia Elétrica,o que é energia,1 ano
98,98,https://trends.google.com/trends/explore?q=o+que+%C3%A9+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=o+que+%C3%A9+energia+el%C3%A9trica&tz=180,Energia Elétrica,o que é energia elétrica,1 ano
53,53,https://trends.google.com/trends/explore?q=consumo+de+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=consumo+de+energia+el%C3%A9trica&tz=180,Energia Elétrica,consumo de energia elétrica,1 ano
51,51,https://trends.google.com/trends/explore?q=consumo+de+energia&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=consumo+de+energia&tz=180,Energia Elétrica,consumo de energia,1 ano
33,33,https://trends.google.com/trends/explore?q=gera%C3%A7%C3%A3o+de+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=gera%C3%A7%C3%A3o+de+energia+el%C3%A9trica&tz=180,Energia Elétrica,geração de energia elétrica,1 ano
31,31,https://trends.google.com/trends/explore?q=sem+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=sem+energia+el%C3%A9trica&tz=180,Energia Elétrica,sem energia elétrica,1 ano
28,28,https://trends.google.com/trends/explore?q=corrente+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=corrente+el%C3%A9trica&tz=180,Energia Elétrica,corrente elétrica,1 ano
26,26,https://trends.google.com/trends/explore?q=energia+solar&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+solar&tz=180,Energia Elétrica,energia solar,1 ano
23,23,https://trends.google.com/trends/explore?q=fontes+de+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=fontes+de+energia+el%C3%A9trica&tz=180,Energia Elétrica,fontes de energia elétrica,1 ano
23,23,https://trends.google.com/trends/explore?q=fontes+de+energia&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=fontes+de+energia&tz=180,Energia Elétrica,fontes de energia,1 ano
23,23,https://trends.google.com/trends/explore?q=fonte+de+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=fonte+de+energia+el%C3%A9trica&tz=180,Energia Elétrica,fonte de energia elétrica,1 ano
18,18,https://trends.google.com/trends/explore?q=tipos+de+energia&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=tipos+de+energia&tz=180,Energia Elétrica,tipos de energia,1 ano
18,18,https://trends.google.com/trends/explore?q=pot%C3%AAncia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=pot%C3%AAncia+el%C3%A9trica&tz=180,Energia Elétrica,potência elétrica,1 ano
18,18,https://trends.google.com/trends/explore?q=tipos+de+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=tipos+de+energia+el%C3%A9trica&tz=180,Energia Elétrica,tipos de energia elétrica,1 ano
17,17,https://trends.google.com/trends/explore?q=distribui%C3%A7%C3%A3o+de+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=distribui%C3%A7%C3%A3o+de+energia+el%C3%A9trica&tz=180,Energia Elétrica,distribuição de energia elétrica,1 ano
17,17,https://trends.google.com/trends/explore?q=energia+potencial+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+potencial+el%C3%A9trica&tz=180,Energia Elétrica,energia potencial elétrica,1 ano
17,17,https://trends.google.com/trends/explore?q=energia+potencial&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=energia+potencial&tz=180,Energia Elétrica,energia potencial,1 ano
17,17,https://trends.google.com/trends/explore?q=o+que+%C3%A9+corrente+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=o+que+%C3%A9+corrente+el%C3%A9trica&tz=180,Energia Elétrica,o que é corrente elétrica,1 ano
15,15,https://trends.google.com/trends/explore?q=tarifa+de+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=tarifa+de+energia+el%C3%A9trica&tz=180,Energia Elétrica,tarifa de energia elétrica,1 ano
15,15,https://trends.google.com/trends/explore?q=falta+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=falta+energia+el%C3%A9trica&tz=180,Energia Elétrica,falta energia elétrica,1 ano
15,15,https://trends.google.com/trends/explore?q=transmiss%C3%A3o+de+energia+el%C3%A9trica&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=transmiss%C3%A3o+de+energia+el%C3%A9trica&tz=180,Energia Elétrica,transmissão de energia elétrica,1 ano
14,14,https://trends.google.com/trends/explore?q=eletricidade&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=eletricidade&tz=180,Energia Elétrica,eletricidade,1 ano
13,13,https://trends.google.com/trends/explore?q=medidor+de+energia&date=today+12-m&geo=BR,https://serpapi.com/search.json?data_type=RELATED_QUERIES&date=today+12-m&engine=google_trends&geo=BR&q=medidor+de+energia&tz=180,Energia Elétrica,medidor de energia,1 ano
